2019-05-24 14:40:44 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 22,17; Parcels:      0; Health:  75.0; Health Usage: 100.0; Fuel: 216.0; Tile: FINISH
2019-05-24 14:40:44 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 23,17; Parcels:      0; Health:  75.0; Health Usage: 100.0; Fuel: 215.0; Tile: FINISH
2019-05-24 14:40:44 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 23,18; Parcels:      0; Health:  75.0; Health Usage: 100.0; Fuel: 214.0; Tile: FINISH
2019-05-24 14:40:45 INFO  Car - Speed:   0.0; Angle:  NORTH; Position: 23,18; Parcels:      0; Health:  70.0; Health Usage: 100.0; Fuel: 213.0; Tile: FINISH
2019-05-24 14:40:45 INFO  Car - Speed:   0.0; Angle:  NORTH; Position: 23,18; Parcels:      0; Health:  70.0; Health Usage: 100.0; Fuel: 213.0; Tile: FINISH
2019-05-24 14:40:45 INFO  Car - Speed:   0.0; Angle:  NORTH; Position: 23,18; Parcels:      0; Health:  70.0; Health Usage: 100.0; Fuel: 213.0; Tile: FINISH
2019-05-24 14:40:45 INFO  Car - Speed:   0.0; Angle:  NORTH; Position: 23,18; Parcels:      0; Health:  70.0; Health Usage: 100.0; Fuel: 213.0; Tile: FINISH
2019-05-24 14:40:46 INFO  Car - Speed:   0.0; Angle:  NORTH; Position: 23,18; Parcels:      0; Health:  70.0; Health Usage: 100.0; Fuel: 213.0; Tile: FINISH
2019-05-24 14:40:46 INFO  Car - Speed:   0.0; Angle:  NORTH; Position: 23,18; Parcels:      0; Health:  70.0; Health Usage: 100.0; Fuel: 213.0; Tile: FINISH
2019-05-24 14:40:46 INFO  Car - Speed:   0.0; Angle:  NORTH; Position: 23,18; Parcels:      0; Health:  70.0; Health Usage: 100.0; Fuel: 213.0; Tile: FINISH
2019-05-24 14:40:46 INFO  Car - Speed:   0.0; Angle:  NORTH; Position: 23,18; Parcels:      0; Health:  70.0; Health Usage: 100.0; Fuel: 213.0; Tile: FINISH
2019-05-24 14:40:47 INFO  Car - Speed:   0.0; Angle:  NORTH; Position: 23,18; Parcels:      0; Health:  70.0; Health Usage: 100.0; Fuel: 213.0; Tile: FINISH
